Column,2009,2008,2007,2006,2005
,KES 000s,KES 000s,KES 000s,KES 000s,KES 000s
Current Assets,"1,522,281","1,249,920","1,396,706","990,534","910,858"
"Current
Liabilities","988,035","1,017,357","1,327,959","657,005","735,586"
Current Ratio,1.54,1.23,1.05,1.51,1.24
