Column,Useful life,Residual values
leasehold land and buildings,Over the period of the lease,35%
Computers,3-4 years,-
Motor vehicles,4 years,-
Furniture and fittings,10 years,25%
lift installations,10 years,25%
laundry equipment,10 years,25%
