Notes,"2009
Shs’000","2008
Shs’000"
"12
12
11","105,865
1,906,676
605,699
132,331","105,865
1,906,676
567,747
132,331"
,"2,750,571","2,712,619"
"21
17","2,528,608
55,051","2,528,608
55,051"
,"2,583,659","2,583,659"
23,"170,973","130,823"
,"170,973","130,823"
"25
14","2,006
2,055","1,754
109"
,"4,061","1,863"
,"166,912","128,960"
,"2,750,571","2,712,619"
