Column,NO.OF SHAREHOLDERS,NO OF SHARES,% SHAREHOLDING
Foreign Investors,156,"122,466,657",67.23
Local Institutions,451,"44,518,586",24.44
Local Individuals,"7,846","15,188,865",8.33
,"8,453","182,174,108",100.00
