"Bank Name/
Branch","Sort
Code",Physical Address,"Postal
Address",Tel. No.,"Business Hours
From-To"
Head Office,"63-
000","Nation Centre, 8th floor
Kimathi Street","61711 - 00200
NAIROBI","(20) -2849000,
2210983/5/6/8","9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
"Nation Centre
Branch","63-
001","Nation Centre, Ground
Floor Kimathi Street","61711 - 00200
NAIROBI","(20) -2849000,
2210983/5/6/8","9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
Kisumu Branch,"63-
003","Diamond Trust House
Oginga Odinga Road","1081
KISUMU-
40100","(057) -
2024382/3/4","9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
"Parklands
Branch","63-
005","Aga Khan Hospital
Parklands","39694 - 00623
NAIROBI","(20) Ð
3753168/ 9","9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
"Mombasa
Branch","63-
002","Diamond Trust
Building","90564
MOMBASA-
80100","(041) -
2221494/ 5","9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
"Mombasa Road
Branch","63-
008","Capital Centre
Mombasa Road","27556
NAIROBI-
00506","(20) -
6976000,65241
2/3/8/9","9.00a.m.-5.00p.m.
Mon. to Friday
9.00a.m.-3.00p.m.
Saturdays
10.00a.m.-
1.00p.m. Sundays"
"Tom Mboya
Branch","63-
050","Tesco Supermarket
Tom Mboya street","61711 - 00200
NAIROBI",(20) -2052460,"8.00a.m.-8.00p.m.
Mon. to Saturday
10.00a.m.-
4.00p.m. Sundays"
"Westgate
Branch","63-
006","Westgate Shopping
Mall, Mwanzi Road","66213 - 00800
NAIROBI","(20) -
3756108/9","8.00a.m.-8.00p.m.
Mon. to Saturday
10.00a.m.-
4.00p.m. Sundays"
Kisii Branch,"63-
010","Moi Highway
Kisii","1265-40200
KISII","(058) -
30869,30839,3
510424","9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
"Industrial Area
Branch","63-
009",Likoni Road,"78542-00507
NAIROBI","(20) -
551775/6,3510
422/3","9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
"Malindi
Branch","63-
011",FN Centre - Lamu Road,"5244-80200
MALINDI",(042) -21621/2,"9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
