Column,NO.OF SHaReHOlDeRS,NO OF SHaReS,% SHaReHOlDINg
Foreign Investors,162,"122,417,087",67.20
local Institutions,465,"44,211,745",24.27
local Individuals,"7,839","15,545,276",8.53
,"8,466","182,174,108",100.00
