Column,ECONOMIC IMPACT IN EAST AFRICA (11 Years),Column,Column,Column,Column,Column
,Direct,Indirect,Induced,Spillover,TOTAL,Basis Used
Per Annum,,,,,,
Jobs Created – average per annum,"3,552","10,090","3,430",739,"17,811","Headcount expressed in Full
Time Equivalent (FTE) per
annum."
"Number of People Supported within the
Households as a result of the Jobs Created
– average per annum","15,446","44,954","15,290","3,269","78,959","Headcount multiplied by the
Country’s average number of
people per household."
11 Years (2013 to 2023),,,,,,
"TOTAL ECONOMIC IMPACT -
Contribution to Gross Domestic Product in
East Africa - $ Million (Note 1)","1,272","1,340",93,27,"2,732","Direct, indirect, induced,
spillover revenues and tax
collection deriving from
Serena Hotels operations."
Note 1: The ECONOMIC IMPACT in the line above has been derived from the below and covers 19 Serena properties:,,,,,,
Value Creation by Guests - $ Million,231,603,-,-,834,"Value creation at Serena
Hotels and non-hotel
expenditure during their visit."
Payroll & Related - $ Million,230,292,93,27,642,"Amounts paid to Serena Direct
employees and all along the
value chain."
"Local Procurement (food, beverage,
utilities, repairs & maintenance and other
operating costs)- $ Million",498,-,-,-,498,"Consumption of non-imported
goods and services by Serena
Hotels operations."
"Direct & Indirect Taxes (includes park/
conservancy fees, visas) - $ Million",259,445,-,-,704,"Taxes collected from Serena
Hotels and indirect tax
through Serena Hotels supply
chain."
"Capital Expenditure (renovations,
expansions, improvements) - $ Million",54,-,-,-,54,"Capital investments by Serena
Hotels for renovations,
expansions or improvements."
