"2023
Shs’000",Column,"2023
Shs’000"
"1,073,683",,"57,615"
"322,105","203,366
(10,054)
140,202
(35,324)","17,285"
"(6,885)",,"(17,285)"
"28,917",,-
"(141,321)",,-
"202,816","298,190",-
