Column,ECONOMIC IMPACT IN EAST AFRICA (9 Years),Column,Column,Column,Column,Column
,Direct,Indirect,Induced,Spillover,TOTAL,Basis Used
Per Annum,,,,,,
Jobs Created – average per annum,"3,638","9,934","3,135",501,"17,208","Headcount expressed in Full
Time Equivalent (FTE) per
annum."
"Number of People Supported within the
Households as a result of the Jobs Created
– average per annum","16,130","44,991","14,216","2,314","77,651","Headcount multiplied by the
Country’s average number of
people per household."
9 Years (2013 to 2021),,,,,,
"TOTAL ECONOMIC IMPACT -
Contribution to Gross Domestic Product in
East Africa - $ Million (Note 1)","1,015","1,035",57,12,"2,119","Direct, indirect, induced,
spillover revenues and tax
collection deriving from
Serena Hotels operations."
Note 1: The ECONOMIC IMPACT in the line above has been derived from the below and covers 19 Serena properties:,,,,,,
Value Creation by Guests - $ Million,167,501,-,-,669,"Value creation at Serena
Hotels and non-hotel
expenditure during their visit."
Payroll & Related - $ Million,188,177,57,12,434,"Amounts paid to Serena Direct
employees and all along the
value chain."
"Local Procurement (food, beverage,
utilities, repairs & maintenance and other
operating costs)- $ Million",406,-,-,-,406,"Consumption of non-imported
goods and services by Serena
Hotels operations."
"Direct & Indirect Taxes (includes park/
conservancy fees, visas) - $ Million",206,356,-,-,562,"Taxes collected from Serena
Hotels and indirect tax
through Serena Hotels supply
chain."
"Capital Expenditure (renovations,
expansions, improvements) - $ Million",48,-,-,-,48,"Capital investments by Serena
Hotels for renovations,
expansions or improvements."
