Column,ECONOMIC IMPACT IN EAST AFRICA (5 Years),Column,Column,Column,Column,Column
,Direct,Indirect,Induced,Spillover,TOTAL,Basis Used
Jobs Created – average per annum,"3,840","12,431","4,120","1,276","21,667","Headcount expressed in Full
Time equivalent (FTe) per
annum."
"Number of People Supported within
the Households as a result of the Jobs
Created – average per annum","17,401","55,410","18,510","5,767","97,088","Headcount multiplied by the
Country’s average number of
people per household."
"TOTAL ECONOMIC IMPACT -
Contribution to gross Domestic Product
in east africa - $ Million (Note 1)",653,731,53,16,"1,453","Direct, indirect, induced,
spillover revenues and tax
collection deriving from
Serena Hotels operations."
Note 1: The ECONOMIC IMPACT in the line above has been derived from the below and covers 20 Serena properties:,,,,,,
Value Creation by guests - $ Million,110,336,,,446,"Value creation at Serena
Hotels and non-hotel
expenditure during their
visit."
Payroll & Related - $ Million,116,158,53,16,343,"amounts paid to Serena
Direct employees, and all
along the value chain."
"local Procurement (food, beverage,
utilities, repairs & maintenance and
other operating costs)- $ Million",277,,,,277,"Consumption of non-
imported goods and services
by Serena Hotels operations."
"Direct & Indirect Taxes (includes park/
conservancy fees, visas) - $ Million",130,237,,,367,"Taxes collected from Serena
Hotels and indirect tax
through Serena Hotels supply
chain."
"Capital expenditure (renovations,
expansions, improvements) - $ Million",20,,,,20,"Capital investments
by Serena Hotels for
renovations, expansions or
improvements."
