Column,"2020
Shs 000","2019
Shs 000"
Revenue,"2,034,160","6,823,159"
EBITDA,"(437,785)","1,017,126"
*EBITDA (%),(22%),15%
(Loss) / Profit before income tax,"(1,658,909)","321,950"
(Loss) / Profit before tax (%),(82%),5%
Earnings per share (Shs.),(6.32),0.81
Net assets,"8,261,318","9,201,239"
