Assumption,Approach used to determine values:
"1. eBITDa growth as determined by :
i) Room occupancy rates","average room occupancy rate over the five-year forecast period; based on past performance and
management expectations of market development."
ii) Room rates,"average annual growth rate over the five-year forecast period; based on current industry trends
and including long term country inflation forecast."
iii) Budgeted average gross margin,Based on past performance and management expectations of the future.
"2. annual capital expenditure as a %
of revenue","expected cash costs in the CgUs. This is based on the historical experience of management, the
planned refurbishment, or sustaining expenditure. No incremental revenue or cost savings are
assumed in the value-in-use model as a result of this expenditure."
3. long term growth rate,"This is the weighted average growth rate used to extrapolate cash flows beyond the budget period.
The rate is based on long term growth rate forecasts for the industry and Country."
4. Pre-tax discount rate,"Based on specific risks relating to the industry and country. Factors considered for the industry
include regulatory environment, market competition, and barriers to entry."
