"TPS EASTERN AFRICA LIMITED - PENDING LEGAL CASES AS AT 26 APRIL, 2010",Column,Column,Column,Column
,C A S E N O A N D P A R T I E S,N A T U R E O F C L A I M,"A D V O C A T E S
ON RECORD
FOR TPS",S T A T U S
1,"HCCC No. 1221 of 2005
Trans-Mara County Council
Vs. TPSEA","Trans-Mara County Council (TMCC) filed
suit challenging the validity of the Lease
signed between themselves and TPSEA.
TMCC has consequently declined to
facilitate registration of the Lease as required
under the Local GovernmentÕ s Act. TPSEA
lawyers have advised Management that there
is high probability that judgment will be in
favour of TPSEA. However, if the Court
rules against TPSEA, the damages that TPS
will suffer in terms of projected business for
remainder of the lease period is estimated at
KES. 4 billion. TPSEA has counterclaimed
for the loss of prospective business.","Daly & Figgis
Advocates, and
Oraro & Company
Advocates, Kenya","Matter mentioned in
Court on 2 November
2009 for directions.
Pending hearing."
2,"Arbitration cause between
TPS and Isiolo County
Council","This dispute is in regard of breach of
contract arising from the Agreement to Lease
signed between Isiolo County Council (ICC)
and TPSEA. In the Agreement to Lease,
TPSEA was granted a 12km exclusivity
zone. Contrary to the terms of the
Agreement, ICC allocated a third party a site
within the exclusive zone without TPSESÕ s
consent. ICC alleged that the terms and
conditions of the Agreement to Lease were
unfavourable to the Council and sought to
renegotiate terms. Negotiations to settle the
dispute out of Court were unsuccessful and
consequently, TPSEA commenced
arbitration in accordance with the Agreement
to Lease. TPSEA lawyers have advised that
chances of success are high. Loss of business
is estimated to be over KES 5 million.","Oraro & Company
Advocates, Kenya","Following the flood at
SSSL, it was agreed
to take out the matter
from the Arbitration
list of 18 March 2010.
Discussions between
parties ongoing."
3,"HCCC No. 907 of 2009
Kenya Canvas Limited Vs.
TPSEA","This is a debt collection matter. Kenya
Canvas Limited has claimed KES. 6,006,
422,00 ( plus costs for the suit and interest )
from TPSEA for alleged goods sold,
delivered and not paid for.","Walker Kontos
Advocates","Application for
summary judgment
was argued on 26
April 2010. Ruling to
be delivered on 2 July
2010."
4,"TPS (T) Vs National Bank of
Commerce (NBC)","TPS (T) has sought a declaration that
conversion by NBC of part of TPS (T)Õ s
Tanzania Shillings designated loan in
equivalent of US $ 4,000,000 loan to a dollar
designated loan was unlawful and that TPS
(T) would not be responsible of any","Rex Attorneys ,
Tanzania","Pleadings closed.
Mediation scheduled
for 9th and 10th June
2010."
