"2024
Shs 000",Column,"2024
Shs 000"
"1,454,269",,"1,454,269"
"911,570",,"911,570"
"695,867",,"695,867"
"3,061,706","2,850,219","3,061,706"
,"4,132,631
2,133,165
1,651,190",
"2,989,398",,"2,989,398"
"2,111,916",,"2,111,916"
"1,365,444",,"3,178,807"
"6,466,758","7,916,986","8,280,121"
,"381,675
1,968",
"19,617",,"19,617"
"4,312",,"4,312"
"23,929","383,643","23,929"
,"2,794",
"12,826",,"12,826"
"12,826","2,794","12,826"
