Income statement,F08,F09,Column,Column,F09,%
(TShs’m),Actual,,Actual,,Forecast,variance
,,"4,077.7",,"3,785.5
950.5
(214.2)",,7.7
,,858.7,,,,(9.7)
,,(214.2),,,,(0.0)
,,644.6,,"736.3
(120.3)
-",,(12.5)
,,(118.7),,,,(1.3)
,,(5.6),,,,n.a
,,520.3,,"613.2
19.5
6.1",,(15.2)
,,15.8,,,,--
,,5.4,,,,--
