"2023
Shs 000",Column,"2023
Shs 000"
"1,405,622",,"1,405,622"
"596,293",,-
"848,304",,"848,304"
"2,850,219","1,823,820","2,253,926"
,"4,331,896
1,713,203
397,325",
"4,132,631",,"4,132,631"
"2,133,165",,"2,133,165"
"339,917",,"339,917"
"6,605,713","6,442,424","6,605,713"
,"328,931
-",
"385,850",,"385,850"
"1,968",,"1,968"
"387,818","328,931","387,818"
,"1,306",
"2,794",,"2,794"
"2,794","1,306","2,794"
