New standard or amendments,Effective date
- Classification of liabilities as current or non-current (Amendments to IAS 1),1 January 2024
- Lease Liability in a Sale and Leaseback (Amendments to IFRS 16),1 January 2024
- Non-current Liabilities with Covenants (Amendments to IAS 1),1 January 2024
- Disclosures – Supplier Finance Arrangements (Amendments to IAS 7 and IFRS 7),1 January 2024
