Column,NO.OF SHaReHOlDeRS,NO OF SHaReS,% SHaReHOlDINg
Foreign Investors,139,"120,902,474",66.37
local Institutions,577,"45,160,492",24.79
local Individuals,8133,"16,111,142",8.84
,8849,"182,174,108",100
