"2024
Shs’000",Column,"2024
Shs’000"
"596,293",,-
"8,705,330",,"307,892"
"(8,264,148)",,-
"47,704",,"9,471"
"(173,609)",,"(23,654)"
"911,570","596,293","293,709"
