OTC Branch,"63-
013","Gwasi Lane,Off
Racecourse Road,OTC
Buiding","7978-00300
NAIROBI","(020) -
317077/078,
2357980","9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
"Eastleigh
Branch","63-
015","2nd Avenue ,Eastleigh","69001-00622
NAIROBI","(020) -
6768071/2,
2357981","9.00a.m.-5.00p.m.
Mon. to Friday
9.00a.m.-3.00p.m.
Saturdays"
"Nakuru
Branch","63-
018","S.D Shah Building
Kenyatta Avenue
,Nakuru","1101-20100
NAKURU","(051) -
2211422/
2211423","9.00a.m.-5.00p.m.
Mon. to Friday
9.00a.m.-3.00p.m.
Saturdays"
"Village Market
Branch","63-
019","Village Market
Limuru Road, Nairobi","63473-00619
NAIROBI","(20) -
2849000,22109
83/5/6/8/9","8.00a.m.-8.00p.m.
Mon. to Saturday
10.00a.m.-
4.00p.m. Sundays"
"Changamwe
Branch","63-
016","Airport Road
Changamwe, Mombasa","93140-80102
MOMBASA",(041) -3432562,"9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
"Prestige
Branch","63-
023","Prestige Plaza
Ngong Road,Nairobi","21053 - 00505
NAIROBI","(20) -
3861550/1","9.00a.m.-5.00p.m.
Mon. to Friday
9.00a.m.-3.00p.m.
Saturdays"
Bungoma,"63-
021","Moi Avenue
Bungoma","726 - 50200
BUNGOMA","(055) -
3050/8,30510","9.00a.m.-5.00p.m.
Mon. to Friday
9.00a.m.-3.00p.m.
Saturdays"
Kitale branch,"63-
022",Kenyatta Street,"3707 - 30200
KITALE","(054) -
31565,30926,
31456","9.00a.m.-5.00p.m.
Mon. to Friday
9.00a.m.-3.00p.m.
Saturdays"
"Buru Buru
Branch","63-
024","South Mumias Road,
Nairobi","12125 - 00515
NAIROBI",(20) -780325/6,"8.00a.m.-8.00p.m.
Mon. to Saturday
10.00a.m.-
4.00p.m. Sundays"
"Jomo Kenyatta
Branch","63-
026","Majengo Bazaar
Building Jomo
Kenyatta Street","97888 - 80112
MOMBASA","(041) -
2490071,
2490085","9.00a.m.-5.00p.m.
Mon. to Friday
9.00a.m.-3.00p.m.
Saturdays"
Diani Branch,"63-
020","South Coast Plaza,Diani
Beach Road,Diani","5656- 80401
MOMBASA",0711-300006,"9.00a.m.-4.00p.m.
Mon. to Friday
9.00a.m.-1.00p.m.
Saturdays"
