Column,NO.OF SHAREHOLDERS,NO OF SHARES,% SHAREHOLDING
Foreign Investors,145,"218,847,551",77.43
Local Institutions,433,"46,582,207",16.48
Local Individuals,"7,703","17,220,821",6.09
,"8,281","282,650,579",100.00
