"2018
Shs 000",Column,"2018
Shs 000"
"1,267,721",,"1,267,721"
"211,745",,"211,745"
"1,479,466","2,006,820","1,479,466"
,"4,476,834
1,796,277",
"4,732,619",,"4,732,619"
"1,805,800",,"1,805,800"
"6,538,419","6,273,111","6,538,419"
,"431,981
10,553",
"444,108",,"444,108"
356,,356
"448,632","442,534","448,632"
,"4,209",
"4,063",,"4,063"
