Name of Director,Category,"Board meetings
attended"
Mr J Bosse,Non-executive Chairman,4
Dr E Kidero,Executive director - MD,4
Mr J Kinyua,Non-executive director,4
Mr.J G Chege,Non-executive director,4
Mr K Gatabaki,Non-executive director,4
Mr M R Juma,Non-executive director,4
Dr C Wangia,Non-executive director,4
Ms G Ngala,Non-executive director,4
Mr F Kigen,Non-executive director,4
Mr E Mukabanah,Non-executive director,2
Mr J Mruttu,Non-executive director,2
Hon A Wako,Non-executive director,3
