Director’s Name,"Fees and allowances
as at 30th June 2018","Fees and allowances
as at 30th June 2017"
,KSh,
Mr. D. Ameyo,-,"4,807,139"
Mrs. E. Kyengo,-,"1,048,571"
Mr. F. Kingori,"57,143","2,057,148"
Mr. J. Mathenge,"769,062","2,271,427"
Mr. J. Opindi,"685,641","1,311,430"
Mrs. J. Tabuke,"5,252,390","2,557,148"
Mr. J. K. Barorot,-,"671,429"
Dr. K. Ngumbau,"9,742,678","5,714,287"
Mrs. N. Kaminchia,"2,884,086","2,100,004"
Ms. Naomi Cidi,"4,601,006","3,071,426"
Mr. N. K. Orgut,"2,618,711","754,287"
Mrs. P. Adala,"2,049,988","834,286"
Mr. P. K. Ingosi,"3,904,065","1,257,146"
Mr. J. Maina,"688,573",-
Mr. S. Were,"1,778,577",-
Mr. A. Koech,"2,232,863",-
Total,"37,264,783","28,455,728"
