Net cash inflows from operating activities,"126,10","6 117,582",Column,Column,Column,Column,Column
Net cash used in ivesting activities,"(120,304",") (170,946)",,,,,
Net cash from/(used in) financing activities,"(82,086",") 150,465",,,,,
Cash and cash equivalent at 31 December,"(234,063",") (157,779)",,,,,
Consolidated Balance Sheet At 31 December 2010,,,,,,,
,Group,,Company,,,,
,2010,2009,2010,2009,,,
,Kshs,Kshs,Kshs,Kshs,,,
ASSETS,,,,,,,
Non current assets,"1,162,61","7 1,150,331","959,568","923,795",,,
Current assets,"179,08","2 153,785","178,086","151,172",,,
TOTAL ASSETS,"1,341,69","9 1,304,116","1,137,654","1,074,967",,,
EQUITY AND LIABILITIES,,,,,,,
Capital and reserves,,,,,,,
Share capital,"177,01","8 177,018","177,018","177,018",,,
Reserves,"219,35","0 224,741","235,648","206,528",,,
Minority interest,"(12,006",") 10,694",0,0,,,
Non current liabilities,"397,39","6 389,913","213,696","225,239",,,
Current liabilities,"559,94","1 501,750","511,292","466,182",,,
TOTAL EQUITY AND LIABILITIES,"1,341,69","9 1,304,116","1,137,654","1,074,967",,,
Consolidated Statement Of Changes In Equity For The Year Ended 31December 2010,,,,,,,
,Share,Share,Revaluation,Retained,,Minority,Total
,Capital,Premium,Reserve,Earnings,Total,Interest,Equity
,Kshs 000',Kshs 000',Kshs 000',Kshs 000',Kshs 000',Kshs 000',Kshs 000'
Balance as at 31 December 2009,"177,01","8 10,501","122,658","91,582","401,759","10,694","412,453"
Net loss for the year,,0 0,0,"(5,391)","(5,391)","(22,700)","(28,091)"
