Notes,"2016
Shs","2015
Shs
Restated"
22,"5,440,194
(16,762,077)
-","759,142
(16,843,136)
(2,112,268)"
,"(11,321,883)","(18,196,262)"
"14
16","(954,595)
-
6,568,963","(5,326,297)
(306,000)
37,393,922"
,"5,614,368","31,761,625"
,"(8,622,866)
13,500,000","(6,385,321)
(4,539,634)"
,"4,877,134","(10,924,955)"
,"(830,381)","2,640,408"
,"(47,019,918)
(830,381)
(87,924)","(49,687,610)
2,640,408
27,284"
19,"(47,938,223)","(47,019,918)"
