Notes,Column,"2015
Shs"
"10
11","177,018,950
10,501,719
122,654,966
(286,818,995)","177,018,950
10,501,719
132,522,086
(199,878,678)"
,"23,356,640","120,164,077"
"12
13
20","140,806,953
83,851,526
17,000,000","126,283,838
98,919,791
-"
,"241,658,479","225,203,629"
,"265,015,119","345,367,706"
"14
15
16","281,605,046
2,557,160
183,600","332,929,365
2,557,160
244,800"
,"284,345,806","335,731,325"
"17
18
19","40,631,082
22,476,858
2,362,398
31,298,500","19,810,995
53,758,487
3,837,442
31,298,500"
,"96,768,838","108,705,424"
"20
12
21","41,539,304
60,160,221
14,400,000","25,501,932
59,167,111
14,400,000"
,"116,099,525","99,069,043"
,"(19,330,687)","9,636,381"
,"265,015,119","345,367,706"
