Minority interest,"(12,006)","10,694",0,0
Non current liabilities,,,,
Deferred tax,"116,541","103,319","116,541","103,319"
Finance lease payables,"97,155","121,920","97,155","121,920"
Borrowing from bank,"183,700","164,674",,0
,"397,396","389,913","213,696","225,239"
Current liabilities,,,,
Loans and borrowings,"56,304","72,341","20,000","21,293"
Finance lease payables,"127,346","187,655","127,346","187,655"
Bank overdraft,"240,011","160,033","240,011","160,033"
Trade and other payables,"136,280","81,721","120,720","81,284"
Due to group,,0,"3,215","15,917"
,"559,941","501,750","511,292","466,183"
TOTAL EQUITY AND LIABILITIES,"1,341,698","1,304,116","1,137,654","1,074,967"
Approved by :,,,,
Dr.Chris Obura,,,,
Chairman,,,,
