Notes,Column,"2015
Shs"
"10
11","177,018,950
10,501,719
122,654,966
(286,995,333)","177,018,950
10,501,719
132,522,086
(199,923,616)"
,"23,180,302","120,119,139"
"12
13
20","140,806,953
83,851,526
17,000,000","126,283,838
98,919,791
-"
,"241,658,479","225,203,629"
,"264,838,781","345,322,768"
"14
16","281,627,785
183,600","332,952,104
244,800"
,"281,811,385","333,196,904"
"17
18
19","40,631,082
23,472,458
2,362,398
31,298,500","19,810,995
53,754,087
3,837,442
31,298,500"
,"97,764,438","108,701,024"
"20
12
21","40,176,821
60,160,221
14,400,000","23,008,049
59,167,111
14,400,000"
,"114,737,042","96,575,160"
,"(16,972,604)","12,125,864"
,"264,838,781","345,322,768"
