Notes,Column,"2016
Shs
62,816,765
(48,266,715)"
"3
4","5,113,470
7,155,215
(3,321,728)
(56,960,784)
(34,233,477)","14,550,050
1,856,308
(39,182,934)
(42,488,455)
(29,892,070)"
"5
7","(82,247,304)
(12,062,614)","(95,157,101)
(16,850,001)"
8,"(94,309,918)
3,960,656","(112,007,102)
15,068,265"
,"(90,349,262)","(96,938,837)
(96,938,837)"
,"(90,349,262",
9,(2.55),(2.74)
