Investing activities,Column,Column
"Purchase of property, plant and equipment","(128,172)","(173,364)"
"Proceed from disposal of property, plant and equipment","7,868","2,418"
Net cash used in investing activities,"(120,304)","(170,946)"
Financing activities,,
proceeds from finance leases,"110,748","254,444"
Borrowing from the bank,"21,714","120,000"
Payment of advances from a director,"(18,726)","(150,873)"
Payment of finance lease obligation,"(195,822)","(73,106)"
Net cash flows from financing activities,"(82,086)","150,465"
(Decrease)/Increase in cash and cash equivalents,"(76,284)","97,101"
Movement in cash and cash equivalents,,
At start of the period/year,"(157,779)","(254,881)"
(Decrease)/Increase,"(76,284)","97,101"
At end of the period/year,"(234,063)","(157,780)"
Cash and cash equivalnets,,
Cash in hand,"5,948","2,254"
Bank overdrafts,"(240,011)","(160,033)"
,"(234,063)","(157,779)"
Approved by :,,
Dr.Chris Obura,,
