Notes,Column,"2015
Shs"
,"62,816,765
(48,266,715)","123,850,909
(83,039,513)"
"3
4","14,550,050
1,856,308
(39,182,934)
(42,357,055)
(29,892,070)","40,811,396
11,728,303
(24,383,208)
(42,212,933)
(44,766,288)"
"5
7","(95,025,701)
(16,850,001)","(58,822,730)
(16,815,852)"
8,"(111,875,702)
15,068,265","(75,638,582)
15,645,269"
,"(96,807,437)","(59,993,313)"
9,(2.73),(1.69)
