Express Kenya Limited.,Column,Column
Consolidated Cash Flow Statement For The Year Ended 31 December 2010,,
Cash generated from operations,,
Reconciliation of profit before tax to cash,31.12.10,31.12.09
generated from operations,Shs 000',Shs 000'
Profit before tax,"(14,869)","25,916"
Adjustments for:,,
Depreciation,"84,442","131,611"
"(Profit)/Loss on disposal of property, plant and equipment","(6,400)","(2,418)"
Profit on disposal of prepaid operating leases,0,0
Fair value changes on investment property,"29,723",0
Amortisation of lease,254,254
Exchange gain on advances to related companies,0,0
Amortisation of intangible asset,,
Interest expense,"104,416","66,638"
Operating profit before working capital cahnges,"197,566","222,001"
Changes in working capital,,
Decrease/ (Increase) in Trade and other receivables,"(17,154)","20,556"
Decrease/(Increase) Inventories,"6,454","3,502"
Increase in dividends payable,0,0
(Decrease)/Increase in trade and other payables,"54,560","(61,614)"
Cash (used) / generated from operations,"43,860","(37,556)"
Cash (used)/generated from Operations,"241,426","184,445"
Operating activities,,
Interest paid,"(104,416)","(66,638)"
Tax paid,"(10,904)",(225)
Net cash from operating activities,"126,106","117,582"
