New and Amendments to standards,"Effective for annual periods beginning on
or after"
"Amendments to IAS 1 - Classification of liabilities as
current or non-current","1 January 2024, with earlier application
permitted"
"Amendments to IFRS 16 - Lease Liability in a Sale and
Leaseback","1 January 2024, with earlier application
permitted"
Amendments to IAS 21 - Lack of Exchangeability,1 January 2025
"Amendments to IAS 7 and IFRS 7: Supplier finance
arrangements",1 January 2024 as earlier adoption permitted
"IFRS S1 General requirements for disclosures of
sustainability – related financial information.",1 January 2024
IFRS S2 Climate – related disclosures,1 January 2024
"IFRS 18 - Presentation and Disclosure in Financial
Statements","1 January 2027 as earlier adoption
permitted"
"Amendments to IAS 1- Non-current Liabilities with
Covenants","1 January 2024 as earlier adoption
permitted"
"Amendments to IFRS 10 and IAS 28 - Sale or Contribution
of Assets between an Investor and its Associate or Joint
Venture","Yet to be set, however earlier application
permitted"
