Key Ratios,Q1 2023,FY 2022,Q1 2022
Cost to income ratio,92%,90%,86%
Cost of Risk,-1.4%,-7%,20.8%
ROE,-1.6%,7.3%,43.7%
ROA,-0.3%,1.2%,6.6%
