Column,Group,Column,Company,Column
Note,2023,2022,2023,2022
,KShs'000,,KShs'000,
,"35,031,220",,"7,093,118",
,"( 4,787,644)",,"( 10,174)",
,"( 180,528)",,-,
,"50,458,574",,-,
,"(21,828,108)",,-,
,"( 1,070,314)",,-,
,"57,623,200",,"7,082,944",
,"( 1,384,935)",,-,
,"( 1,272,378)",,-,
,-,,"( 962,232)",
,"53,841",,-,
,"( 2,603,472)",,"( 962,232)",
,"( 1,076,978)",,-,
,"( 1,741,298)",,-,
,"( 3,720,648)",,"(3,720,648)",
,"( 152,094)",,-,
,-,,-,
,"545,553",,-,
,"( 31,375)",,-,
,-,,-,
,"( 869,926)",,-,
,"( 7,046,766)",,"(3,720,648)",
,"47,972,962",,"2,400,064",
,"27,082,130",,"864,255",
,"2,793,165",,-,
,"77,848,257",,"3,264,319",
