Asset Type,Percentage
Buildings,2
Leasehold improvements,10 - 12½ or over the period of lease if shorter than 8 years
Computer equipment and computer software,20 - 33⅓
"Furniture, fittings and fixtures",10 - 12½
Motor vehicles,20 - 25
