Loan to Deposit Ratio,71%,76%,72%,73%
Gross NPLs,12.6%,10.5%,10.2%,10.9%
"Total Capital/Total Risk
Weighted Assets",18%,21%,20%,21%
Liquidity Ratio,48%,46%,47%,49%
