"Software
KShs’000","Capital work
in progress
KShs’000","Total
KShs’000"
"3,537,629","127,322","3,664,951"
"422,946","473,211","896,157"
"165,449","(165,449)",-
"( 39,353)",-,"( 39,353)"
"48,214","1,606","49,820"
"4,134,885","436,690","4,571,575"
"1,622,044",-,"1,622,044"
"532,741",-,"532,741"
"( 39,353)",-,"( 39,353)"
"19,650",-,"19,650"
"2,135,082",-,"2,135,082"
"1,999,803","436,690","2,436,493"
