Key Ratios,Q1 2022,Q1 2021
Loan to Deposit Ratio,77.7%,72.2%
Net NPA,-0.6%,1.1%
"Total Capital / Total
Risk Weighted Assets",20.2%,19.2%
Liquidity Ratio,55.8%,58.0%
