Column,"BANK BANK
UNAUDITED AUDITED
MAR 2016 DEC 2016
(KSHS’000) (KSHS’000)","BANK
UNAUDITED
MAR 2017
(KSHS’000)"
"1. NON-PERFORMING LOANS AND ADVANCES
a) G ross Non-performing Loans and advances
Less
b) Interest in suspense","5,773,421 8,215,798
1,290,125 2,165,222",
,,"8,240,527"
,,"2,235,102"
c) T otal Non-performing loans and advances (a-b),"4,483,296 6,050,576","6,005,425"
"Less
d) Loan loss provisions","1,246,272 2,216,057",
,,"2,610,075"
e) Net Non-Performing Loans (c-d),"3,237,024 3,834,519","3,395,350"
f ) Discounted value of securities,"3,017,584 3,834,519","3,395,350"
g) Net NPLs exposure (e-f),"219,440 -",-
"2. INSIDER LOANS AND ADVANCES
a) D irectors, shareholders and associates
b) Employees","4,756,609 1,305,032
872,810 1,583,034",
,,"1,910,900"
,,"1,220,732"
c) T otal Insider Loans and Advances,"5,629,419 2,888,066","3,131,632"
"3. OFF- BALANCE SHEET ITEMS
a) L etters of Credit, Guarantees, Acceptances
b) Forwards, swaps and options
c) Other contingent liabilities","28,009,488 28,799,259
26,357,261 19,041,170
3,476,559 3,523,517",
,,"32,478,080"
,,"27,227,498"
,,"3,617,581"
d) Total Contingent liabilities,"57,843,308 51,363,946","63,323,159"
"4. CAPITAL STRENGTH
a) Core capital
b) Minimum statutory capital","24,366,941 24,684,820
1,000,000 1,000,000",
,,"25,438,009"
,,"1,000,000"
"c) Excess/(deficiency)
d) Supplementary capital","23,366,941 23,684,820
2,800,785 2,249,438","24,438,009"
,,"2,190,544"
e) Total capital (a+d),"27,167,726 26,934,258","27,628,553"
"f) Total risk weighted assets
g) Core capital/Total deposit liabilities
h) Minimum statutory ratio","145,055,589 148,383,014
21.98% 20.82%
8.00% 8.00%","163,589,578"
,,18.65%
,,8.00%
i ) Excess/(Deficiency) (g-h),13.98% 12.82%,10.65%
"j) Core capital/Total risk weighted assets
k) Minimum statutory ratio","16.80% 16.64%
10.50% 10.50%",15.55%
,,10.50%
l ) Excess/(Deficiency) (j-k),6.30% 6.14%,5.05%
"m) Total capital/Total risk weighted assets
n) M inimum statutory ratio","18.73% 18.15%
14.50% 14.50%",16.89%
,,14.50%
o) Excess /(Deficiency) (m-n),4.23% 3.65%,2.39%
"5. LIQUIDITY
a) Liquidity ratio
b) Minimum statutory ratio","35.10% 37.26%
20.00% 20.00%",
,,40.79%
,,20.00%
c) Excess /(Deficiency) (a-b),15.10% 17.26%,20.79%
