Particulars,Dec-15,Dec-16,Dec-17,Dec-18,Dec-19,19 vs 18
,Kshs M,Kshs Mn,Kshs Mn,Kshs Mn,Kshs Mn,Y-Y % ▲
,,,,,"15,386",
,,,,,"97,587",
,,,,,"175,329",
,,,,,"26,989",
Total Assets,"191,657","210,542","240,112","288,522","315,291",9%
,,,,,"229,737",
,,,,,"10,856",
,,,,,"13,836",
Total Liabilities,"157,936","171,036","193,097","237,648","254,429",7%
Shareholders' Funds,"33,721","39,506","47,015","50,874","60,862",20%
