Date,To,Items donated
"January, 2003",Nyumbani –Children of God Relief Institute,Bathing towels and ink cartridges
"February, 2003",Renu Sasodia & Children,"School fees, uniforms, shoes, school books, foodstuff"
"February, 2003",Starehe Boys’ Centre,To a needy child
"April, 2003","SSL, MP Shah Hospital",Towards construction
"April, 2003",My dream – Young Jains,Towards education
"May, 2003",Oshwal Youth League,Platinum Games
"May, 2003",Visa Oshwal Nursery School,Donation
"May, 2003",Karuna Charity Trust,Advertising in a commemorative magazine/souvenir
"May, 2003","Sarit’s Centre’s 20th Anniversary Charity Raffle in aid
of Nyumbani & Hope Homes for HIV+ children",Cash
"July, 2003",Kibagare Good News Centre,Foodstuff
"July, 2003",Nyumbani,"Foodstuff, kitchen requirements, books and pens"
"August, 2003",Lions Club Nairobi Central,"Golf sponsorship to carry out major eye operations
in Kenya"
"September, 2003","SSL, MP Shah Hospital",Towards construction
"November, 2003",Ebenezer Children’s Home,Foodstuff
"November, 2003",Ebenezer Children’s Home,Foodstuff
"December, 2003",Nyumbani,Foodstuff
