Key Ratios,Q1 2023,FY 2022,Q1 2022,Q1 2021
"Cost to income
ratio",63.1%,60.4%,59.1%,61.8%
Cost of Risk,1.1%,1.4%,1.5%,1.0%
ROE,12.6%,13.9%,12.8%,13.0%
ROA,1.7%,1.9%,1.6%,1.6%
