Column,BANK
,NAUDITED
,SEP 2016
,(KSHS’000)
"ns
3,787,451 5,072,214 5,773,421 5,902,319
814,229 986,864 1,290,125 1,531,821",
,"6,230,495"
,"1,819,570"
"s
2,973,222 4,085,350 4,483,296 4,370,498
971,230 1,127,127 1,246,272 1,471,888","4,410,925"
,"1,501,392"
"2,001,992 2,958,223 3,237,024 2,898,610","2,909,533"
"ies 2,001,992 2,873,733 3,017,584 2,898,610","2,909,533"
"- 84,490 219,440 -",-
"ES
1,398,460 879,950 4,756,609 3,042,167
833,466 868,624 872,810 919,907",
,"2,087,855"
,"1,029,015"
"2,231,926 1,748,574 5,629,419 3,962,074","3,116,870"
"s,
27,518,543 30,067,563 28,009,488 30,164,381
s 28,861,642 18,812,112 26,357,261 28,440,763
3,146,859 4,190,719 3,476,559 2,878,687",
,"30,829,877"
,"25,305,627"
,"2,905,450"
"59,527,044 53,070,394 57,843,308 61,483,831","59,040,954"
"21,194,276 23,559,141 24,366,941 25,255,515
1,000,000 1,000,000 1,000,000 1,000,000",
,"24,791,824"
,"1,000,000"
"20,194,276 22,559,141 23,366,941 24,255,515
3,171,141 2,984,952 2,800,785 2,616,619","23,791,824"
,"2,430,428"
"24,365,417 26,544,093 27,167,726 27,872,134","27,222,252"
"137,491,383 138,178,796 145,055,589 148,285,772
19.96% 22.55% 21.98% 21.57%
10.50% 8.00% 8.00% 8.00%","150,400,844"
,21.42%
,8.00%
9.46% 14.55% 13.98% 13.57%,13.42%
"15.41% 17.05% 16.80% 17.03%
10.50% 10.50% 10.50% 10.50%",16.48%
,10.50%
4.91% 6.55% 6.30% 6.53%,5.98%
"17.72% 19.21% 18.73% 18.80%
14.50% 14.50% 14.50% 14.50%",18.10%
,14.50%
3.22% 4.71% 4.23% 4.30%,3.60%
"32.55% 33.50% 35.10% 38.18%
20.00% 20.00% 20.00% 20.00%",
,35.22%
,20.00%
12.55% 13.50% 15.10% 18.18%,15.22%
