Directors,"18 January
2019","25 March
2019","08 July
2019","17 October
2019","Total
Board meetings
attended in 2019"
Daniel Ndonye,,,,,100%
Suresh B R Shah,,,,,100%
Sarit Raja-Shah,,,,,100%
Michael Turner,,,,,100%
Oliver Fowler,,,,,75%
Sachit S Raja Shah,,,,,50%
Nyambura Koigi,,,,,100%
Suleiman Kiggundu,,,,,100%
Vincent De Brouwer*,N/A,N/A,N/A,N/A,N/A
