"HISTORY
Particulars",Dec-18,Dec-19,Dec-20,"Dec 20 vs Dec
19"
,Kshs Mn,Kshs Mn,Kshs Mn,Y-Y % ▲
,,,"15,600",
,,,"8,638",
Total Operating Income,"23,191","23,795","24,238",2%
,,,"10,134",
Profit before Loan Loss Provisions,"14,710","14,334","14,104",-2%
,,,"2,473",
Profit before Share of JV,"10,903","13,698","11,631",-15%
,,,(679),
Profit Before Tax,"11,498","14,603","10,952",-25%
,,,"8,413",
