Key Ratios,H1 2023,FY 2022,H1 2022
Loan to Deposit Ratio,42%,38%,34%
Net NPA,7.6%,1.9%,5.8%
"Total Capital/Total Risk
Weighted Assets",32%,16%,16%
Liquidity Ratio,56%,52%,56%
