GROUP,Column,Column
"UNAUDITED
30-Sep
2020
KShs '000'","AUDITED
31-Dec
2019
KShs '000'","UNAUDITED
30-Sep
2019
KShs '000'"
"1 4,868,572
7 00,735
2 1,232,816
1 85,693,796
1 6,832,543
3 2,693,016
4 1,856,388
5 ,194,172
-
1 1,852,290
3 ,154,978
2 ,402,504
-
1 ,882,608
3 ,031,892
-
3 ,274,533","15,385,829
536,459
43,662,404
175,329,426
13,744,048
13,109,198
27,071,019
5,398,545
-
10,152,429
3,113,771
2,042,907
-
37,819
3,014,836
-
2,691,984","1 8,091,451
1 ,615,205
5 1,989,467
1 74,111,284
1 2,757,446
1 6,256,234
2 4,443,205
4 ,834,574
-
8 ,583,933
3 ,143,907
1 ,877,717
2 30,291
5 35,494
1 ,954,603
-
3 ,925,028"
"3 44,670,843","315,290,674","3 24,349,839"
"9 ,410,277
1 20,404
2 52,828,739
-
2 73,081
-
6 ,473,584
7 ,072,443
4 ,651,285","8,005,604
147,321
229,736,509
-
894,694
-
4,788,747
6,210,571
4,645,055","1 0,779,375
6 35,076
2 36,229,016
-
9 6,508
-
5 ,478,814
8 ,796,999
4 ,715,580"
"2 80,829,813","254,428,501","2 66,731,368"
"8 26,811
1 8,390,507
3 4,470,753
8 64,772
4 8,919
(1,297,855)
7 ,291,167
(130,158)","826,811
18,390,507
33,918,324
875,985
( 273,802)
( 1,416,566)
5,518,392
( 101,042)","8 26,811
1 8,390,507
3 1,652,494
8 20,277
(26,638)
(915,512)
3 ,841,201
(70,361)"
"6 0,464,916
3 ,376,114","57,738,609
3,123,564","5 4,518,779
3 ,099,692"
"6 3,841,030","60,862,173","5 7,618,471"
"3 44,670,843","315,290,674","3 24,349,839"
