Statement of Comprehensive Income,Mar-22,Mar-21,"Mar 22 vs
Mar 21",Comments
,Kshs Mn,Kshs Mn,Y-Y %,
Net Interest Income,"5,205","4,313",21%,"Interest income buoyed on the back of growth in loans and
advancesandgovernmentsecuritiesacrosstheGroup;"
Non-Funded Income,"2,195","1,825",20%,"Increase in transactional fees and commissions and improved
margins in foreign exchange trading income as trade activity picked
up;"
Total Operating Income,"7,400","6,138",21%,Strong growthfrombothinterestandnon-interestincome;
Operating Expenses,"3,369","2,804",20%,"Cost growth driven by inflationary pressures, integration of Uganda
business, continued investment in digitization and staff in key
supportareas;"
Profit before Loan Loss Provisions,"4,031","3,334",21%,
Loan Loss Provisions,481,759,-37%,"Loan loss provisions reduced on the back of provisions released and
recoveries;"
Profit before Share of JV,"3,550","2,575",38%,
Share of Profit/(loss) from JV,120,84,44%,"Profit growth from better economic activity and recoveries in
Mauritius;"
Profit Before Tax,"3,670","2,659",38%,
