Column,Group,Column,Company,Column
Note,2023,2022,2023,2022
,KShs ‘000,,KShs ‘000,
,"50,458,574",,"267,262",
,"(21,828,108)",,-,
,"28,630,466",,"267,262",
,"6,868,831",,-,
,"( 918,506)",,-,
,"5,950,325",,-,
,"34,580,791",,"267,262",
,"6,369,910",,"132,594",
,"812,524",,"6,929,595",
,"41,763,225",,"7,329,451",
,"( 6,869,542)",,-,
,"34,893,683",,"7,329,451",
,"( 7,654,549)",,-,
,"( 818,821)",,-,
,"( 8,071,390)",,"( 59,791)",
,"( 2,872,241)",,-,
,"(19,417,001)",,"( 59,791)",
,"15,476,682",,"7,269,660",
,"1,203,644",,-,
,"16,680,326",,"7,269,660",
,"( 3,335,107)",,"( 88,441)",
,"13,345,219",,"7,181,219",
