Column,Group,Column,Company,Column
Note,2024,2023,2024,2023
,Kshs ‘000,"Kshs ‘000
(60,203)
88,145
83,521
(25,056)
(2,168,665)
778,777
-
-
5,367,493",Kshs ‘000,
,"(42,900)",,-,
,"402,625",,-,
,"372,597",,-,
,"(111,779)",,-,
,"3,575,568",,"33,343",
,"(1,036,046)",,-,
,"(119,147)",,-,
,"35,744",,-,
,"(7,310,932)",,-,
,"(4,234,270)","4,064,012","33,343",
,"12,419,479","17,409,231","4,764,056",
,,"12,615,177
730,042",,
,"15,379,279",,"4,730,713",
,"1,274,470",,-,
,"16,653,749","13,345,219","4,730,713",
,,"15,829,555
1,579,676",,
,"12,667,357",,"4,764,056",
,"(247,878)",,-,
,"12,419,479","17,409,231","4,764,056",
,9.30,7.63,2.86,
