"2020
KShs’000",Column,"2020
KShs’000"
"(13,633,979)",,"3,369,737"
,"( 1,654,839)
( 1,026,409)
-
( 430,620)
4,847",
"( 2,300,649)",,-
"( 896,157)",,-
-,,"( 489,588)"
"( 405,000)",,"( 405,000)"
"( 45,803)",,-
"( 3,647,609)","( 3,107,021)","( 894,588)"
,"( 863,854)
-
( 244,508)
-
( 421,795)
( 1,446)",
"( 190,119)",,-
"( 2,108,367)",,"( 2,108,367)"
"( 107,708)",,-
"408,098",,-
"( 397,328)",,-
-,,-
"( 2,395,424)","( 1,531,603)","(2,108,367)"
"( 19,677,012)","7,191,420
33,957,996","366,782"
"41,149,416",,"79,277"
"21,472,404","41,149,416","446,059"
