Column,Group,Column,Company,Column
,2024,2023,2024,2023
Note,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,"20,776,357","16,680,326
1,230,941
542,773
1,098,527
180,528
(623)
(28,630,466)
(885,164)
(2,793,165)
(1,203,644)
6,976,672","4,780,631",
,"1,301,111",,-,
,"708,376",,-,
,"1,047,178",,-,
,"285,731",,-,
,"53,514",,-,
,"(37,562,368)",,-,
,"(168,788)",,-,
,"13,742,877",,-,
,"(896,971)",,-,
,"(7,090,854)",,-,
,"(7,803,837)","(6,803,295)","4,780,631",
,,"(72,740,697)
14,460,620
(9,210,418)
(10,631,715)
444,227
979,051
(6,178,373)
(2,004,855)",,
,"24,248,266",,-,
,"2,134,333",,-,
,"(7,219,611)",,"32,256",
,"(34,600,632)",,-,
,"(199,813)",,-,
,"(2,261,673)",,-,
,"1,729,429",,-,
,"1,068,347",,"(565,532)",
,"(15,101,354)","(84,882,160)","(533,276)",
,,"104,338,503
21,345,760
1,032,412
-",,
,"(4,494,958)",,-,
,"(4,452,611)",,-,
,"3,060,646",,"9,760",
,-,,"14,520",
,"(5,886,923)","126,716,675","24,280",
,"(4,246,137)","(4,787,644)
(180,528)
50,458,574
(21,828,108)
(1,070,314)","(163,853)",
,"(285,731)",,-,
,"68,105,524",,-,
,"(30,543,156)",,-,
,"(680,218)",,-,
,"32,350,282","22,591,980","(163,853)",
,"3,558,168","57,623,200","4,107,782",
