SOCIAL,2019,2018,2017
**Number of employees,2034,1955,1765
"Salaries and benefits paid to employees
- KShs bn",4.7,4.1,3.7
*Revenue per staff - KShs bn,4.57,5.88,-
Staff Engagement Score (OHI) - %,77,75,73
*Customer Satisfaction Index - %,85,82,82
*Workforce gender ratio Female:Male,49:51,49:51,49:51
*Women in Leadership positions -%,32,29,49
*Average staff training days,1.5,1.3,1.1
"*Number of health and safety incidents
at the workplace",None,None,None
