Loan to Deposit Ratio,73%,79%,77%,72%
Net NPA,5.9%,2.6%,2.2%,4.1%
"Total Capital/Total Risk
Weighted Assets",17%,20%,21%,21%
Liquidity Ratio,40%,39%,40%,46%
