Loan to Deposit Ratio,41%,38%,32%,30%
Net NPA,2.8%,1.9%,19%,11%
"Total Capital/Total Risk
Weighted Assets",28%,16%,17%,19%
Liquidity Ratio,46%,52%,62%,56%
