Statement of Financial Position,Mar-22,Mar-21,"Mar 22 vs
Mar 21",Comments
,KshsMn,KshsMn,Y-Y %,
Cash & Bank Balances,"28,835","14,963",93%,"Cash & Bank increased following the acquisition in Uganda and
increasedbalancesinsubsidiarieswiththeirrespectiveregulators;"
Investments & Placements,"123,880","125,466",-1%,
Loans & Advances (net),"218,406","193,159",13%,"Loans growth on account of continued economic recovery across
theregion;"
Total Assets,"430,831","364,376",18%,"Total asset growth on the back of strong loan growth during the
period;"
Customer Deposits,"309,424","263,133",18%,"Continued focus on increasing deposits through our digital
channels;"
Borrowings,"19,939","14,721",32%,TierIIdebtsupportfromDFIsforonlendingtoSMEsector;
Total Liabilities,"355,587","294,849",21%,
Shareholders' Funds**,"70,512","65,556",8%,
