latoT 000’shSK,"879,424,22","346,230,6","346,230,6",")716,581
(",")404,302
(","120,16",-,")000,823
(","346,407,5",")863,313,1
(",")863,313,1
(","352,618,62"
noN gnillortnoc tseretni 000’shSK,"823,567","707,231","707,231",")274,38
(",-,-,-,")274,38
(","532,94",")852,71
(",")852,71
(","503,797"
latoT 000’shSK,"056,956,12","639,998,5","639,998,5",")541,201
(",")404,302
(","120,16",-,")825,442
(","804,556,5",")011,692,1
(",")011,692,1
(","849,810,62"
noitalsnarT evreser 000’shSK,")505,55
(",-,-,")541,201(",-,-,-,")541,201(",")541,201(",-,-,")056,751("
"elbaliavA elas evreser 000’shSK
rof",")408,263(",-,-,-,")404,302(","120,16",-,")383,241(",")383,241(",-,-,")781,505("
noitaulaveR evreser 000’shSK,"937,926",-,-,-,-,-,-,-,-,-,-,"937,926"
"yrotutatS ksir evreser 000’shSK
tiderc","091,526",-,-,-,-,-,"837,91","837,91","837,91",-,-,"829,446"
deniateR sgninrae 000’shSK,"845,961,41","639,998,5","639,998,5",-,-,-,")837,91
(",")837,91
(","891,088,5",")011,692,1
(",")011,692,1
(","636,357,81"
erahS muimerp 000’shSK,"732,377,3",-,-,-,-,-,-,-,-,-,-,"732,377,3"
erahS latipac 000’shSK,"542,088,2",-,-,-,-,-,-,-,-,-,-,"542,088,2"
