Key Ratios,Q1 2022,Q1 2021
Loan to Deposit Ratio,85.6%,89.9%
Net NPA,7.9%,9.0%
"Total Capital / Total
Risk Weighted Assets",20.1%,18.2%
Liquidity Ratio,30.1%,26.0%
