6 months period to 30 June 2018,"Share
capital
Kshs '000'
4 13,405
-
-","Share
premium
Kshs '000'
1 8,805,359
-
-","Revaluation
reserve
Kshs '000'
8 05,901
-
( 5,850)","Available for sale
Reserve
Kshs '000'
( 125,292)
-
( 49,874)","Statutory Loans
reserve
Kshs '000'
2 ,163,403
-
( 873,189)","Retirement
reserve
Kshs '000'
( 86,105)
-
-","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
2 2,621,210
3 ,629,840
1 ,601","Translation
reserve
Kshs '000'
( 278,028)
-
( 490,523)","Total
Kshs '000'","Non controlling
interest
Kshs '000'
2 ,695,630
2 38,271
( 176,028)","Total
Kshs '000'"
"At 1 January 2018
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Transactions with owners:
Other transactions
Dividends Paid
Total transactions with owners for the period
Balance as at 30 June 2018",,,,,,,,,,,,
,,,,,,,"2 ,077,298",,,"4 4,319,853",,"4 7,015,483"
,,,,,,,-,,,"3 ,629,840",,"3 ,868,111"
,,,,,,,"( 873,189)",,,"( 1,417,835)",,"( 1,593,863)"
,-,-,"( 5,850)","( 49,874)","( 873,189)",-,"( 873,189)","3 ,631,441","( 490,523)","2 ,212,005","6 2,243","2 ,274,248"
,"-
-
-","-
-
-","-
-
-","-
-
-","-
-
-","-
-
-",-,"-
-
( 1,446,918)","-
-
-",-,"-
1 79,550
( 207,857)",-
,,,,,,,,,,-,,-
,,,,,,,-,,,-,,"1 79,550"
,,,,,,,-,,,"( 1,446,918)",,"( 1,654,775)"
,-,-,-,-,-,-,-,"( 1,446,918)",-,"( 1,446,918)","( 28,307)","( 1,475,225)"
,,,,,,,,,,-,-,-
,"4 13,405","1 8,805,359","8 00,051","( 175,166)","1 ,290,214","( 86,105)","1 ,204,109","2 4,805,733","( 768,551)","4 5,084,940","2 ,729,566","4 7,814,506"
- - - - - - - - - - -,,,,,,,,,,,,
For the year ended 31 December 2017,"Share
capital
Kshs '000'
392,362
-
-","Share
premium
Kshs '000'
17,331,510
-
-","Revaluation
reserve
Kshs '000'
718,074
-
87,827","Available for sale
Reserve
Kshs '000'
(353,536)
-
2 28,244","Statutory Loans
reserve
Kshs '000'
1,059,022
-
981,131","Retirement
reserve
Kshs '000'
(46,744)
-
(39,361)","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
18,217,056
6,766,256
(915,184)","Translation
reserve
Kshs '000'
( 287,996)
-
9,968","Total
Kshs '000'","Non controlling
interest
Kshs '000'
2,476,669
497,993
( 209,214)","Total
Kshs '000'"
"At 1 January 2017
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Statutory credit risk
Transactions with owners:
Other transactions
Dividends Paid
Total transactions with owners for the year
Balance as at 31 December 2017",,,,,,,,,,,,
,,,,,,,"1 ,012,278",,,"3 7,029,748",,"39,506,417"
,,,,,,,-,,,"6 ,766,256",,"7,264,249"
,,,,,,,"9 41,770",,,"3 52,625",,"143,411"
,-,-,"87,827","2 28,244","981,131","(39,361)","941,770","5,851,072","9,968","7 ,118,881","288,779","7,407,660"
,"-
21,043
-","-
1,473,849
-","-
-","-
-","123,250
-","-
-",-,"(1,446,918)","-
-",-,"-
55,039
( 124,857)",-
,,,,,,,,,,"1 ,618,142",,"1,673,181"
,,,,,,,-,,,"(1,446,918)",,"(1,571,775)"
,"21,043","1,473,849",-,-,"123,250",-,-,"(1,446,918)",-,"1 71,224","( 69,818)","101,406"
,,,,,,,,,,-,,
,"413,405","18,805,359","805,901","(125,292)","2,163,403","(86,105)","1,954,048","22,621,210","( 278,028)","4 4,319,853","2,695,630","47,015,483"
- - - - - - - - - - -,,,,,,,,,,,,
6 months period to 30 June 2017,"Share
capital
Kshs '000'
3 92,362
-
-","Share
premium
Kshs '000'
1 7,331,510
-
-","Revaluation
reserve
Kshs '000'
7 18,074
-
4 ,930","Available for sale
Reserve
Kshs '000'
( 353,536)
-
2 83,300","Statutory Loans
reserve
Kshs '000'
1 ,059,022
-
1 56,078","Retirement
reserve
Kshs '000'
( 46,744)
-
-","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
1 8,217,056
3 ,250,269
6 4,644","Translation
reserve
Kshs '000'
( 287,996)
-
1 28,603","Total
Kshs '000'","Non controlling
interest
Kshs '000'
2 ,476,669
1 79,817
( 93,854)","Total
Kshs '000'"
"At 1 January 2017
Total comprehensive income for the period
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Transactions with owners:
Other transactions
Dividends Paid
Total transactions with owners for the year
Balance as at 30 June 2017",,,,,,,,,,,,
,,,,,,,"1 ,012,278",,,"3 7,029,748",,"3 9,506,417"
,,,,,,,-,,,"3 ,250,269",,"3 ,430,086"
,,,,,,,"1 56,078",,,"6 37,555",,"5 43,701"
,-,-,"4 ,930","2 83,300","1 56,078",-,"1 56,078","3 ,314,913","1 28,603","3 ,887,824","8 5,963","3 ,973,787"
,"21,043
-","2,453,416
-","-
-","-
-","-
-","-
-",-,"-
( 1,462,187)","-
-
-",-,"-
55,039
( 124,857)",-
,,,,,,,,,,-,,-
,,,,,,,-,,,"2 ,474,459",,"2,529,498"
,,,,,,,-,,,"( 1,462,187)",,"( 1,587,044)"
,"2 1,043","2 ,453,416",-,-,-,-,-,"( 1,462,187)",-,"1 ,012,272","( 69,818)","9 42,454"
,"4 13,405","1 9,784,926","7 23,004","( 70,236)","1 ,215,100","( 46,744)","1 ,168,356","2 0,069,782","( 159,393)","4 1,929,844","2 ,437,775","4 4,367,619"
- - - - - - - - -,,,,,,,,,,,,
