No.,Topic – Groupwide Trainings,Date Undertaken,Hours
"1
2
3
4
5","Robust Internal Control framework, successful growth
strategies & strategic decision making
Risk Advisory/Enterprise Risk Management – plenary session
Navigating the BANI world
Artificial Intelligence
Training on Assets Liabilities Management (ALM) & Liquidity
Risk Management
Training on the New Internal Audit Standards",3 & 4 July 2024,9.5
"6
7","Overview of IFRS9 & Risk Parameters
Anti Money Laundering (AML) & Financial Crime",15 October 2024,6.5
,Total training hours FY 2024,,16
