Key Ratios,H1 2023,FY 2022,H1 2022,H1 2021
Loan to Deposit Ratio,78%,79%,79%,83%
Net NPA,1.5%,1.6%,-1.0%,0.1%
"Total Capital/Total Risk
Weighted Assets",19%,21%,19%,20%
Liquidity Ratio,45%,42%,44%,51%
