SUMMARY OF CONSOLIDATED STATEMENT OF CHANGES IN EQUITY,Column,Column
,"NON
SHARE SHARE RETAINED OTHER CONTROLLING
CAPITAL PREMIUM EARNINGS RESERVES INTEREST TOTAL
(KSHS'000) (KSHS'000) (KSHS'000) (KSHS'000) (KSHS'000) (KSHS'000)",
,,"TOTAL
(KSHS'000)"
,,"74,048,077
(135,245)
(2,462,306)
71,450,526"
